剧集ID,剧集名称,导演,主演,地域,开播时间,总集数,平台,是否付费,评分,播出方式,是否独家,主题,豆瓣ID,是否爱奇艺出品,首集ID
201825501,妈祖,路奇,刘涛;严屹宽;刘德凯;关晓彤;刘佳;黄嘉乐,内地,20121231,38,爱奇艺,0,7.6,,False,古装/神话,,,1132195600
105105801,如意,张自强,杨幂;刘恺威;朱泳腾;刘雪华;张晨光;俞小凡;寇振海;吕佳容;樊昊仑;文梦洋;李泰;海波;陈友旺;王骁;马澜菲;庄紫;马睿,内地,20120101,42,爱奇艺,0,7.2,,False,年代/爱情/剧情,,,162465
104876201,北京爱情故事,陈思诚,陈思诚;李晨;张译;杨幂;张歆艺;莫小棋;佟丽娅;谭凯;白凡,内地,20120108,39,爱奇艺,2,7.6,,False,偶像/言情/都市,,,157799
200806201,知青,张新建,唐曾;傅晶;王凯;张龄心;周游;苏茂洋;瑛子;刘威;李强;任帅,内地,20120529,45,爱奇艺,0,6.3,,False,言情/年代,,,298259800
210303001,自古英雄出少年,江道海;张伟克,释小龙;白静;孙一明;吴磊;郑伟,内地,20120622,38,爱奇艺,0,7.3,,False,爱情/古装/武侠,,,8741639400
117844901,山河恋美人无泪,梁胜权,袁姗姗;张檬;刘恺威;韩栋;蔡少芬;邓莎;王琳;吴俊余;张雪迎;周牧茵;董慧;天阳;黄文豪;包文婧;白珊;刘恩佑;童彤;孙坚,内地,20120101,38,爱奇艺,0,7.1,,False,古装/言情/偶像/宫廷,,,333883
237584101,秘杀名单,刘逢声,靳东;周扬;李立群;刘立淇;章贺,内地,20120130,30,爱奇艺,0,7.2,,False,谍战/悬疑/历史/剧情,,,1928462100
203029501,追我魂魄,周友朝,海陆;郑奇;刘一含;张陆;卢琳,内地,20120101,27,爱奇艺,0,4.8,,False,言情/战争/年代/剧情,,,406814000
211844001,剩男相亲记,韩兆,韩兆;黄小蕾;马丽;姜超,内地,20120425,24,爱奇艺,0,7.5,,False,爱情/喜剧/剧情,,,1379398300
105505801,樱桃,王振宏,沈春阳;宋小宝;赵本山;小沈阳;齐如意;赵海燕;张家豪;红孩;张可,内地,20120219,38,爱奇艺,0,7.6,每日23:00 两集连播,False,农村/剧情,,,166997
217350401,决战江南,宁海强,韩雯雯;马以;冯国庆;王华英;王虎城;王强;金鑫;赵晓明;曾肖龙,内地,20121210,32,爱奇艺,0,6.2,,False,战争/剧情,,,802860800
105547801,红娘子,郭靖宇,王珞丹;杨志刚;刘威;王绘春;史可 (湖北籍演员);杨昆;张永刚;杜若溪;宗平,内地,20120223,49,爱奇艺,0,7.6,每日12:00 三集连播,False,言情/军旅/年代/剧情,,,169417
115096301,小麦进城,姚远,王茜华;罗刚;王丽云;赵毅;苏芸盟;田野;丁莉;常波,内地,20120101,34,爱奇艺,0,6.7,每日24:00 2集连播,False,言情/军旅/年代/剧情,,,294285
202974401,养女,朱正,张笛;刘晓庆;杜源;严晓频;罗刚;任重,内地,20121218,42,爱奇艺,0,6,,False,言情/家庭/剧情,,,402821200
106238801,太平公主秘史,李翰韬,贾静雯;李湘;郑爽;刘雨欣;张翰;朱梓骁;袁弘;孙耀琦;高子淇;涂黎曼;俞小凡;蓝心妍;林妙可;徐玮璐,内地,20120327,45,爱奇艺,0,7.1,每日22:00更新2集,False,古装/历史/爱情/剧情,,,180613
104930601,山里红,雷献禾,颜丹晨;潘粤明;于震;宋雨霏;马仑;曹力;周舟;董连海,内地,20120120,30,爱奇艺,0,6.3,,False,家庭/战争/军旅/剧情,,,158160
201780601,笑红颜,何澍培,胡静;陈楚河;刘松仁;戴春荣;翁虹;白珊;岳跃;于毅,内地,20120423,33,爱奇艺,0,7,,False,爱情/家庭/剧情,,,1521386900
201740401,走出硝烟的女人,赵俊凯,颜丙燕;于震;赵子惠;王茜;王往;张立,内地,20120921,32,爱奇艺,0,6.2,,False,战争/军旅/历史/剧情,,,330533400
113154301,营盘镇警事,马进,张嘉译;郭京飞;丁海峰;王笛;王全有;张喜前;王海燕,内地,20120919,28,爱奇艺,0,6.1,每日20:00 两集连播,False,言情/家庭/剧情,,,278800
114315401,新女婿时代,王小康,林永健;牛莉;何洁;何赛飞;李菁菁;周炜;陈一诺;王龙华;英壮,内地,20121022,34,爱奇艺,0,7,每日24:00 2集连播,False,言情/家庭/喜剧,,,294028
212381601,身边的幸福,何澍培;吴耀权,刘蓓;严屹宽;郑晓宁;刘梓妍;瞿麟曼;吴晓亮,内地,20120606,30,爱奇艺,0,7.4,,False,言情/家庭/剧情,,,1379518000
208591001,南少林荡倭英豪,林楠,张磊;张帆（演员）;张晋;黄曼;石兆琪;包贝尔;孙文婷,内地,20121205,48,爱奇艺,0,7.1,,True,古装/网剧,,,721901300
108811201,女人的颜色,俞钟,凌潇肃;徐筠;芦芳生;王媛可;白凡;周晓欧,内地,20120627,36,爱奇艺,0,6.3,每日24:00 3集连播,False,言情/偶像/都市,,,220333
201375901,歧路兄弟,徐纪周,李健;王雷;张雯;芦芳生;郑萍,内地,20121222,26,爱奇艺,0,5.8,,False,家庭/悬疑/罪案,,,271791600
206783601,刘伯承元帅,张玉中,刘之冰;王嘉;王晖;梁春书,内地,20121219,33,爱奇艺,0,7,,False,军旅,,,1452390700
204448001,葵花进城,乌兰塔娜,鸿利;田宇鹏;姜妍;冯国庆;于小慧;李菁菁;田成仁;丁勇岱,内地,20121015,28,爱奇艺,0,6.7,,False,农村/爱情,,,521812700
202260701,川东游击队,郑晓龙,印小天;齐欢,内地,20120918,30,爱奇艺,0,6.1,,False,农村/爱情,,,330085600
202989801,带泪梨花之美丽重生,王连平,郑清文;司光敏;弼祺;杨潇;李艳冰;江易珈;吴林,内地,20120101,42,爱奇艺,0,6.5,,False,都市/罪案/剧情,,,403543900
106060001,偏偏爱上你,蒋家骏,韩雪;于小伟;丁子峻;高曙光;章龄之;辛芷蕾;宁理;刘芊含,内地,20120313,28,爱奇艺,0,7,,False,言情/青春/商战,,,175808
202306701,十五的月亮,黄克敏,杨若兮;潘雨辰;高洋,内地,20120309,30,爱奇艺,0,6.8,,False,军旅/剧情,,,333014700
108144301,绅士的品格,申宇哲,张东健;金荷娜;金秀路;金民钟;李钟赫;尹世雅;尹真怡;李宗泫;金贞兰,韩国,20120101,20,爱奇艺,0,7.3,每周日、一凌晨3:00 更新1集 8月12日更新19集,False,言情/偶像/剧情,,,207338
110383201,尖刀队,谷锦云,范雨林;崔波;刘小锋;沈晓海;赵燕国彰,内地,20120101,34,爱奇艺,0,6.7,每日20:00两集连播,False,军旅/年代/剧情,,,239726
111639201,木府风云,于荣光,秋瓷炫;吕良伟;潘虹;于荣光;宋运成;朱晓渔,内地,20120101,40,爱奇艺,2,7.2,VIP看全集,False,古装/剧情,,,259607
112880301,宝乐婶的烦心事,顾克利;程绍刚,李菁菁;董连海;陶昕然;雷婷;齐连春;徐广明;王红梅;闫子谦;袁满,内地,20120917,31,爱奇艺,0,6.8,,False,喜剧/农村/剧情,,,275047
204699801,强者风范,张国庆,陈宝国;常铖;吴刚;岳秀清;米学东;林静;王子瑜;石天硕;陈月末;张山,内地,20121014,30,爱奇艺,0,6.8,,False,言情,,,541611100
211404601,米脂婆姨,郭少雄,桑叶红;叶静;马境;王亚梅,内地,20110918,30,爱奇艺,0,7.4,,False,战争/历史/剧情,,,9497808400
200161201,一代枭雄,余丁,孙红雷;巍子;陈数;郭珍霓;陈曦;白红标;孟浩强;曾晓斌;李泽锋;多布杰;石文忠;高洋;韩银龙;李亭哲;节冰;李依蔓（演员）;詹小楠;吴健;余娅;马灿灿;屠育玮;李振起;王军;沈雪炜;杨力蕲,内地,20140101,44,爱奇艺,0,7.1,周一至周五24:00三集连播；周末两集连播,False,言情/战争/军旅/年代,,,218950000
201815301,聪明小空空,都晓;马庭俊,鲍国安;李丹阳;释小松;郑特;郑创译;宁则添,内地,20120815,49,爱奇艺,0,5.9,,False,古装/剧情,,,330904500
201729101,黑狐,张健,张若昀;吴秀波;文章;刘小锋;李曼;乔鹏樾,内地,20110101,38,爱奇艺,0,7.6,,False,战争/谍战,,,3042210600
202278201,新还珠格格,李平,李晟;张睿;海陆;李佳航;潘杰明;邱心志;赵丽颖;邓萃雯;刘雪华,内地,20110716,98,爱奇艺,0,7.3,,False,古装/言情/喜剧,,,330800600
101664901,我是特种兵,刘猛,谷智鑫;徐佳;傅程鹏;何达;任柯诺;郎峰;任天野,内地,20110114,25,爱奇艺,0,8.1,,False,言情/军旅,,,98918
208595201,抗日奇侠,刘仕裕,王新军;尔玛依娜;李嘉明;马京京;白雨,内地,20110228,35,爱奇艺,0,8.1,,False,军事/武侠/历史/科幻/战争/剧情/奇幻,,,721872400
100399201,回家的诱惑,林添一,秋瓷炫;李彩桦;凌潇肃;迟帅;涂黎曼;郑亦桐;馨子;雷佳音;夏台凤,内地,20110101,68,爱奇艺,0,8.1,,False,言情/家庭,,,73435
202420901,夺宝,刘庆梅,冯国庆;张永健;于小磊,内地,20110101,29,爱奇艺,0,6.3,,False,军旅/谍战,,,803148500
203259301,黑色名单,余丁,黄觉;颜丹晨;张宝雯,内地,20110511,35,爱奇艺,0,6.1,,False,战争/谍战/历史/年代/剧情,,,422114900
102474801,军统枪口下的女人,戈弋,池瑞波;高语阳;刘思梦;韩月乔,内地,20110101,30,爱奇艺,0,6.3,,False,战争/谍战/悬疑/年代,6539408,,116497
201668701,永不磨灭的番号,徐纪周,黄海波;姚芊羽;王雷;倪大红;姜寒,内地,20110101,34,爱奇艺,0,8,,False,战争,6013870,,1113544300
200296601,我和我的传奇奶奶,陶秋普,宁静;罗晋;范明;芦芳生;杨静;洪悦;李杨;池源;张永健;杜金京,内地,20140228,40,爱奇艺,0,7.4,周一至周四、周六24:00三集连播;周五、日两集,False,言情/战争/军旅/年代,,,227512900
200272401,父母爱情,孔笙;孙墨龙,郭涛;梅婷;刘琳;任帅;刘天池;刘奕君;张延;郭广平;王菁华;杨立新;娜仁花;刘敏涛;张陆;张龄心;彭婧;赵一龙,内地,20140203,44,爱奇艺,0,8.2,,False,言情/家庭/剧情,,,223661800
200762601,杉杉来了,刘俊杰,张翰;赵丽颖;黄宥明（黄明）;李呈媛;张杨果而;百克力;王汀;石安妮;李方丁;柴浩伟;龙一一;何欢;曹世平;申奥;廉叔良;黄世超,内地,20140708,34,爱奇艺,2,8.8,周一至周五24:00 3集；周六、日2集,True,言情/偶像/青春/喜剧,,,255068900
151646701,爱情公寓4,韦正,娄艺潇;陈赫;邓家佳;王传君;孙艺洲;金世佳;李金铭;李佳航,内地,20140117,24,爱奇艺,2,8.9,,True,偶像/青春/都市/喜剧,,,221865100
200404801,新闺蜜时代,潘镜丞,张歆艺;童瑶;蒋欣;戚迹;田雷;王东方;柳小海;朱宏嘉;王丽涵;白雪云;黄澄澄;刘梦珂,内地,20140131,40,爱奇艺,0,7.7,,False,言情/偶像,,,229511400
201891401,勇敢的心,郭靖宇,杨志刚;杜若溪;于毅;张少华;寇振海;史可 (湖北籍演员);肖茵;马赫;牛北壬;江涛;申军谊,内地,20140821,76,爱奇艺,0,8.3,周一至周五3集；周六、日2集,False,军事/年代,,,298292200
91008301,雪豹,陈皓威,文章;陶飞霏;朱杰;潘泰名;王奎荣;吴秀波;何政军;侯天来;王珂;耿长军;马卫军;杜玉明;乔鹏樾;李卓;张若昀;梓晓;刘立伟;张政勇;一真;樊营;黄俊鹏;许新宇;朱义,内地,20100708,40,爱奇艺,0,8.4,,False,言情/军旅/剧情,,,42361
210321401,狂飙支队,金姝慧,邢佳栋;秦卫东;张博;田野;吴楚;张永健,内地,20120912,38,爱奇艺,0,7,,False,战争/历史/剧情,,,1510955100
200778601,天涯明月刀TV版,赖水清,钟汉良;张檬;张定涵;陈楚河;毛晓彤;姜大卫;宗峰岩;田丽;傅艺伟;吴廷烨,内地,20120624,47,爱奇艺,0,6.9,,False,古装/武侠/爱情,,,253903600
202121101,琅琊榜,孔笙;李雪,胡歌;刘涛;王凯;黄维德;陈龙;丁勇岱;刘敏涛;靳东;刘奕君;王劲松;张龄心;吴磊;程枫（演员）;郭晓然;高鑫;王永泉;周奇奇;王鸥;张棪琰;宁文彤;方晓莉;杨雨婷;谭希和;张晓谦,内地,20150919,54,爱奇艺,2,9.3,每日24:00 两集连播,False,古装/偶像/宫廷/历史,,,399163400
204564601,带泪梨花,王联平,司光敏;弼祺;杨潇;李艳冰;江易珈;李淼;陈真希,内地,20110228,34,爱奇艺,0,6.9,,False,剧情,,,529374000
203029701,郎本无情,陈伟祥,马雅舒;朱泳腾;岳跃利;杜志国;魏春光;张天其,内地,20110101,38,爱奇艺,0,6.2,,False,年代/剧情,,,410325200
101904101,红槐花,雷献禾,宁静;黄志忠;张桐;池瑞波;范明;杜源;蒋欣,内地,20110627,38,爱奇艺,0,6.2,,False,言情/军旅/剧情,,,103973
102504201,零号国境线,张自强,王雷;王挺;袁苑;白凡;王珂;张潮;骆达华;魏璐,内地,20110101,23,爱奇艺,0,6.1,,False,言情/都市/罪案,,,116866
202218601,神圣使命,何群,张嘉译;张兆北;冯谦;林林;于震;赵小锐;黄曼;于俭;张惠中;金鑫,内地,20110530,24,爱奇艺,0,6.5,,False,都市/悬疑/罪案,,,328140200
101361001,秋霜,朱度源,刘孜;于小伟;唐一菲;杨亚星;王笛;李天洋;廖学秋;李子雄;沈晓妍;延杰;谢依琪;孟霞;郭虎,内地,20110508,28,爱奇艺,0,6.3,,False,言情/年代/剧情,,,93769
213943801,烈火,赵青;于震,于震;沈晓海;朱婷;刘文治;孙敬涛;秦建宏,内地,20110101,30,爱奇艺,0,6,,False,军旅,,,785265200
100989401,远去的飞鹰,花箐,朱亚文;姚笛;刘劲;邬君梅;高峰（演员）;赵玲琪;刘彦卿;叶鹏;罗晋;贾延鹏,内地,20110518,30,爱奇艺,0,6,,False,战争/军旅/剧情,,,127702
100473101,女娲传说之灵珠,蔡晶盛,钟欣潼;蒋毅;刘庭羽;蒲巴甲;朱紫汶;谭耀文;孙兴;郭珍霓;李倩;刘娜萍;Tae,内地,20110116,36,爱奇艺,0,7.4,,False,古装/穿越/神话,,,78499
202125101,雪豹坚强岁月,张健,张若昀;毛晓彤;章雯淇;吴承轩;高洋;司源;张永刚,内地,20140903,46,爱奇艺,0,6.6,,False,战争/军旅/年代/剧情,,,301433200
202189001,错婚,安占军,翁虹;戴娇倩;曹炳坤;郝平;严晓频;李芯逸;王丽云,内地,20141015,33,爱奇艺,0,6.8,,False,言情/家庭/都市/剧情,,,320148100
200315001,灵魂摆渡,满意,刘智扬;于毅;肖茵;梁椰雯;小冉;杨逸飞;杜若溪;陈洁;刘芊含;满意,内地,20140228,20,爱奇艺,2,8.4,,True,自制/偶像/青春/悬疑/奇幻/网剧,,,226357700
200161001,金玉良缘,黄祖权,霍建华;唐嫣;邬君梅;王阳;贡米;黄宥明（黄明）;樊昊仑;陆毅;贾清;王婧娈;陶慧敏;代长江;项瑾;郑龙;张仁博;博弘;周笑莉;于小慧,内地,20140421,45,爱奇艺,0,7.8,每日24:00 三集连播,False,古装/言情/偶像/青春,,,237031400
202233001,血色黎明,王军,方中信;蒋林静;汤镇业;刘永;魏宗万;雷雷,内地,20141107,45,爱奇艺,0,7.6,,False,言情/战争/年代,,,1379510700
211230601,刺刀英雄,何明,王唯;潘泰名,内地,20140620,44,爱奇艺,0,7.5,,False,战争/历史,,,2792466500
90266001,真情错爱,汪沛勲,秦岚;赵亮;张少华;冯雷;罗钢;岳跃;郭柏松;杜丽丽,内地,20100101,36,爱奇艺,0,5.9,,False,言情/家庭,,,18817
202292001,风云之十里洋场,谭友业;李达超,邢佳栋;韩雯雯;毕彦君;高虎,内地,20120501,31,爱奇艺,0,6.4,,False,谍战/历史/年代/剧情,,,332745700
202293501,何以笙箫默,刘俊杰,钟汉良;唐嫣;谭凯;杨玏;菅纫姿;赵楚纶;米露;罗云熙;吴倩,内地,20150201,36,爱奇艺,0,8.9,每晚24:00 两集连播,False,言情/偶像/都市,,,340353900
100888301,回家的欲望,林添一,秋瓷炫;李彩桦;凌潇肃;迟帅;涂黎曼;郑亦桐;馨子;雷佳音;夏台凤,内地,20110101,35,爱奇艺,0,6,,False,言情/家庭/青春,,,84734
102276601,少林寺传奇3,都晓,鲍国安;洪金宝;刘家辉;元华;高明;雷恪生;苏茂;孙卉凝;马精武;许还山;计春华;李世德;王志刚;徐鹏军;李炳渊;谢苗,内地,20110606,60,爱奇艺,0,6.9,,False,古装/武侠,5965627,,111869
208173601,断刺,赵浚凯,童蕾;柳云龙;谷智鑫;何政军;徐正运;郭昊伦,内地,20110911,32,爱奇艺,0,7,,False,谍战,,,714891100
101308301,青盲,杨文军,于和伟;吴秀波;刘向京;王丽坤;沙溢;苏岩;石文中;焦刚;吕一丁;松原;陆澎;江洋,内地,20110318,50,爱奇艺,2,7.3,VIP看全集,True,战争/谍战/悬疑/年代,5031728,,169440
202426201,龙巡天下,古道,王灿;曾安琪;周明增;李华;李肖宁;徐玉兰;李又麟;吴皓升;周子涵;张伟;马丽;李秋韵,内地,20111224,35,爱奇艺,0,7,,False,古装/武侠/悬疑,,,8711961600
202326101,老农民,张新建;张开宙,陈宝国;冯远征;牛莉;蒋欣;任帅;梁林琳;刘敏;岳旸;舒耀瑄;刘向京;冯国强;陈月末;苏茂洋;瑛子;林伊婷;雷恪生;白志迪;高明,内地,20141222,60,爱奇艺,0,8.1,,False,家庭/农村/剧情,,,336123200
211677601,韩信,范秀明,焦恩俊;孙海英;吴毅将;孙雅,内地,20100507,36,爱奇艺,0,7.3,,False,古装/历史,,,9157912300
202292201,蓝蝶之谜,梁凯程,马德钟;唐一菲;湛雅舒;王琦,内地,20121104,32,爱奇艺,0,6.6,,False,都市/悬疑/罪案/剧情,,,334396600
118763901,石榴红了,傅百良,于月仙;姜超;句号;王晓曦;于莉红;秦卫东,内地,20120101,36,爱奇艺,0,7,每日24:00三集连播,False,言情/喜剧/农村,,,346058
203326001,请回答1988,申元浩,李惠利;朴宝剑;柳俊烈;高庚杓;成东日;李一花;金成钧;罗美兰;李美妍;金善英;安在洪,韩国,20160624,20,爱奇艺,2,8.7,,True,言情/偶像/青春/喜剧/剧情,,,498189700
202473701,伪装者,李雪,胡歌;靳东;刘敏涛;王凯;王乐君;宋轶;王鸥;岳旸;郭晓峰;王铮;刘奕君;郭虹;张棪琰,内地,20150831,48,爱奇艺,0,8.9,周日至周四24:00 两集； 周五、周六24:00 一集,False,悬疑/剧情,,,393787700
202528001,英雄祭,巍子,巍子;黄觉;刘芊含;赵锦焘;刘晓靓;崔心心;宁文彤;宋轶,内地,20150310,40,爱奇艺,0,6.2,每日24:00 两集连播,False,剧情,,,382305700
203291501,花火,邹集城,张云龙;李心艾;毛俊杰;朱梓骁;陈希郡;马骙;郝泽嘉;孟召重;黄阅;陈昊,内地,20151219,29,爱奇艺,0,5.8,,False,言情/偶像/青春/都市,,,432658200
202879601,我的媳妇是女王,俞钟,霍思燕;雷佳音;曹征;韩烨;顾艳;吕凉;唐以诺;邢瀚卿;王浩钧;方子春,内地,20150811,30,爱奇艺,0,6.3,,False,言情/家庭/都市/剧情,,,387805000
203067201,大秧歌,郭靖宇,杨志刚;杨紫;王奎荣;王绘春;张少华;刘芊含;陈洁;刘之冰;贾媛媛;寇家瑞;贾宏伟;牛北壬;宣璐,内地,20151027,79,爱奇艺,0,8.6,每日24:00 两集连播,False,剧情,,,411904200
100246201,风语,刘江,郭晓东;胡军;孙宁;冯恩鹤;高冬平;赵铁钢;尹媗;王彤;岳跃;夏凡;宁露;赵胜胜;倪虹洁,内地,20110209,36,爱奇艺,0,6.5,,False,战争/军旅/谍战/悬疑,,,70181
202426901,倾世皇妃,梁辛全,林心如;严屹宽;霍建华;惠英红;洪小玲;戴春荣?;王琳;刘涛;杨祐宁;茅子俊;郑凯;晨梓妍;杨凯淳;郝洛钒,内地,20110930,42,优酷,0,6.7,,False,古装/历史/爱情/剧情,,,
217351201,激战江南,宁海强,王亚楠;何琳;王强;杜志国;王骏毅;张书田;王华英;张页川;荆明华,内地,20110731,32,爱奇艺,0,6.1,,False,战争/年代,,,802875700
104215301,大汉口,郑克洪,王姬;杜淳;苏可;谭晓令;启航;陈姝;周浩东;董玥,内地,20111202,34,爱奇艺,0,4.5,,False,战争/年代,,,147895
203070001,追剿,李森,刘宇桥;郭东文;时代美;孙荣;郭晓峰;周梓言,内地,20110902,30,爱奇艺,0,5.2,,False,战争/年代,,,411599800
104381301,人到四十,庞好,王志文;江珊;曾黎;孙松;王思思（歌手）;马丽,内地,20111211,38,爱奇艺,0,6,,False,言情/家庭/青春,5401548,,150186
203074301,二号交通站,英壮,鲍大志;赵卫东;陈铮;颜冠英;英壮,内地,20110101,36,爱奇艺,0,5.8,,False,喜剧/战争/军旅/剧情,,,407676000
210364601,单身女王,蔡晶胜,戴娇倩;黄维德;蒙嘉慧;钱泳辰;宫媛;陆昱霖,内地,20110121,25,爱奇艺,0,7.5,,False,言情/都市/剧情,,,9077561000
202465201,女子特案组,杨亚安;王伟仁;蔡德成,赵子惠;郭昊伦;黄小戈;娄艺潇;孙晨耀;孙嘉一,内地,20111125,30,爱奇艺,0,6.7,,False,罪案/剧情,,,1441089600
210919801,军统枪口下的女人之潜伏,戈弋,魏宗万;刘思梦;韩月乔;姚居德;高语阳,内地,20110301,30,爱奇艺,0,5.1,,False,战争,,,745822700
204445201,致命追踪,车父,钱泳辰;肖茵;杨子骅;王烈;郝岩;边潇潇;鞠庆洲,内地,20111103,30,爱奇艺,0,7,,False,警匪/剧情,,,521086200
101853401,中国1945之重庆风云,张国立;高进军,唐国强;张国立;袁立;蒋勤勤;刘劲;张铁林;吴晓东;王伍福;郭连文;王健;杨俊勇,内地,20110620,30,爱奇艺,0,7.3,,False,战争/军旅/历史/年代/剧情,5958602,,103357
202275001,绿野,文世斌,贺丹丹;刘小溪,内地,20110210,32,爱奇艺,0,6.6,,False,家庭/农村/剧情,,,331373300
242222301,间谍迷城,陈亚洲,赵泰翔;赵汉君;刘夏;王小丹,内地,20110101,24,爱奇艺,0,6.4,,False,谍战,,,2783391200
201677801,革命人永远是年轻,陈健;向勇,聂远;陶飞霏;沈晓海;王往;李艳冰;杨洪武;徐雷智,内地,20110705,38,爱奇艺,0,7.4,,False,战争/剧情,,,9005799800
202367501,我可能不会爱你,瞿友宁,林依晨;陈柏霖;王阳明;陈匡怡;林美秀;孟耿如;金士杰;刘以豪;黄志玮;瞿友宁,台湾地区,20110918,23,爱奇艺,2,7.2,,False,偶像/青春,,,2053685900
100112801,女人当官,付百良,闫学晶;李菁菁;王晓曦;秦卫东;谢园;句号;黄晓娟;于莉红;付聪;妮娜;郑昊;杜肖雄;徐成林,内地,20110111,36,爱奇艺,0,6.9,,False,喜剧/农村,,,66812
208685801,三十而嫁,王小康,黄小蕾;吴军;贾清;林雨申;高宝宝;张竞达;姬麒麟;吴冕;方青卓;宋珂欣,内地,20110506,30,爱奇艺,0,6.4,,False,家庭,,,792831200
202208801,养父的花样年华,何群,邢佳栋;程琤;徐唯;徐唯;张琛;钱波;孙夕尧,内地,20141029,33,爱奇艺,0,7.6,每日24:00 四集连播,False,言情/农村/剧情,,,322974500
91029701,来不及说我爱你,曾丽珍,钟汉良;李小冉;齐芳;谭凯;孙玮;寇振海;归亚蕾;卢勇;刘大为;程学斌;王兰英;朱玟晞;王霓;杨梓艺;徐小明;侯侗江,内地,20100101,36,爱奇艺,0,7.9,,False,言情/偶像/军旅/剧情,,,42907
